"id_municipio","municipio","tipo","id_distrito","latitud","longitud","altitud","sist_norm_int"
"201","SAN JUAN JUQUILA VIJANOS","470","27","17.35416667","-96.30333333","1570","Sistemas normativos internos"
"202","SAN JUAN LACHAO","470","11","16.1575","-97.12472222","590","Sistemas normativos internos"
"203","SAN JUAN LACHIGALLA","470","5","16.59138889","-96.54833333","1720","Sistemas normativos internos"
"204","SAN JUAN LAJARCIA","470","28","16.50805556","-95.92555556","900","Sistemas normativos internos"
"205","SAN JUAN LALANA","E100","4","17.46916667","-95.87972222","460","Sistemas normativos internos"
"206","SAN JUAN DE LOS CUES","INTEROCEANICO","22","18.04611111","-97.05833333","860","Sistemas normativos internos"
"207","SAN JUAN MAZATLAN","INTEROCEANICO","14","17.02833333","-95.4425","520","Sistemas normativos internos"
"208","SAN JUAN MIXTEPEC - DISTR. 08 -","INTEROCEANICO","12","17.30472222","-97.82972222","1720","Sistemas normativos internos"
"209","SAN JUAN MIXTEPEC - DISTR. 26 -","INTEROCEANICO","13","16.27666667","-96.29916667","2040","Sistemas normativos internos"
"210","SAN JUAN ÑUMI","INTEROCEANICO","25","17.39666667","-97.70694444","2210","Sistemas normativos internos"
"211","SAN JUAN OZOLOTEPEC","470","13","16.1325","-96.25777778","2170","Sistemas normativos internos"
"212","SAN JUAN PETLAPA","E100","4","17.46916667","-96.03638889","610","Sistemas normativos internos"
"213","SAN JUAN QUIAHIJE","470","11","16.30111111","-97.31611111","1960","Sistemas normativos internos"
"214","SAN JUAN QUIOTEPEC","470","8","17.60111111","-96.58833333","1930","Sistemas normativos internos"
"215","SAN JUAN SAYULTEPEC","470","15","17.45194444","-97.28611111","2100","Sistemas normativos internos"
"216","SAN JUAN TABAA","INTEROCEANICO","27","17.30416667","-96.20833333","1270","Sistemas normativos internos"
"217","SAN JUAN TAMAZOLA","470","15","17.15972222","-97.22638889","2080","Sistemas normativos internos"
"218","SAN JUAN TEITA","E100","25","17.09583333","-97.41444444","1340","Sistemas normativos internos"
"219","SAN JUAN TEITIPAC","470","24","16.93361111","-96.60916667","1630","Sistemas normativos internos"
